USH,SAWH,Ushuaia - Malvinas Argentinas International Airport,"-54,84330000","-68,29580000"
ULA,SAWJ,Capitan D Daniel Vazquez Airport,"-49,30681600","-67,80259600"
ROY,SAWM,Rio Mayo Airport,"-45,70389900","-70,24559800"
PMQ,SAWP,Perito Moreno Jalil Hamer Airport,"-46,53789900","-70,97869900"
GGS,SAWR,Gobernador Gregores Airport,"-48,78310000","-70,15000200"
JSM,SAWS,Jose De San Martin Airport,"-44,04859924","-70,45890045"
RYO,SAWT,28 de Noviembre Airport,"-51,60500000","-72,22030000"
RZA,SAWU,Santa Cruz Airport,"-50,01650000","-68,57920000"
BHI,SAZB,Comandante Espora Airport,"-38,72500000","-62,16930000"
CSZ,SAZC,Brigadier D.H.E. Ruiz Airport,"-37,44609800","-61,88930100"
OVR,SAZF,Olavarria Airport,"-36,88999900","-60,21659900"
GPO,SAZG,General Pico Airport,"-35,69620100","-63,75830100"
OYO,SAZH,Tres Arroyos Airport,"-38,38690000","-60,32970000"
SST,SAZL,Santa Teresita Airport,"-36,54230000","-56,72180000"
MDQ,SAZM,Ástor Piazzola International Airport,"-37,93420000","-57,57330000"
NQN,SAZN,Presidente Perón International Airport,"-38,94900100","-68,15570100"
NEC,SAZO,Necochea Airport,"-38,49074600","-58,81633700"
PEH,SAZP,Comodoro Pedro Zanni Airport,"-35,84460000","-61,85760000"
RSA,SAZR,Santa Rosa Airport,"-36,58829900","-64,27570300"
BRC,SAZS,Teniente Luis Candelaria International Airport,"-41,15119900","-71,15750100"
TDL,SAZT,Héroes de Malvinas Airport,"-37,23463400","-59,22864700"
VLG,SAZV,Villa Gesell Airport,"-37,23540000","-57,02920000"
CUT,SAZW,Cutral-Co Airport,"-38,93970100","-69,26460300"
CPC,SAZY,Aviador C. Campos Airport,"-40,07540100","-71,13729900"
VIU,AGVH,Viru Harbour Airstrip,"-8,50845700","157,68998600"
CDJ,SBAA,Conceição do Araguaia Airport,"-8,34835000","-49,30149800"
ARX,SBAC,Aracati Dragão do Mar Regional Airport,"-4,56889600","-37,80513500"
JTC,SBAE,Bauru/Arealva–Moussa Nakhal Tobias State Airport,"-22,16075500","-49,07032500"
